epoch,accuracy,loss,val_accuracy,val_loss
0,0.37695077,1.6883527456211442,0.6486486196517944,1.1345543335821178
1,0.58943576,1.0889013756473525,0.8108108043670654,0.6898336532349522
2,0.68907565,0.8189061068061019,0.8716216087341309,0.45547895007640926
3,0.74429774,0.6802920853139973,0.8445945978164673,0.44650924364356576
4,0.8019208,0.5756292149988043,0.9324324131011963,0.2875241464274508
5,0.85354143,0.43762290562080425,0.8716216087341309,0.2927859799080604
6,0.85714287,0.4138050004057273,0.9729729890823364,0.2221315209376248
7,0.8907563,0.30250471721369304,0.9459459185600281,0.1783486824463801
8,0.90636253,0.3037055845943694,0.9662162065505981,0.129167890114823
9,0.9147659,0.24629233496683306,0.9662162065505981,0.13658792844728088
10,0.9291717,0.22102293418170083,0.9662162065505981,0.10825115032344616
11,0.93757504,0.1862298811682179,0.9797297120094299,0.09323367546071618
12,0.9315726,0.2001230784705566,0.9932432174682617,0.07771008204184221
13,0.93877554,0.169570983338249,0.9729729890823364,0.08853068764280603
14,0.9471789,0.1703611067090254,0.9864864945411682,0.03356218288777077
15,0.95438176,0.1254475881844982,0.9797297120094299,0.0680816965139309
16,0.9471789,0.16463021411753198,0.9932432174682617,0.043196495620921614
17,0.96758705,0.10387976130107386,0.9864864945411682,0.042827307942855906
18,0.95438176,0.12136881912794541,1.0,0.024713772988958237
19,0.9579832,0.12261011991251064,0.9932432174682617,0.030539198540732226
20,0.9639856,0.10042024002635445,0.9932432174682617,0.027930486769172282
21,0.96038413,0.1071609193215806,0.9864864945411682,0.03125158625602666
22,0.97719085,0.0904681912539336,0.9662162065505981,0.06046799938514989
23,0.96638656,0.12137810792472072,0.9932432174682617,0.039052271402298985
24,0.96518606,0.10003577099223167,0.9662162065505981,0.05702215097556512
25,0.972389,0.07845348408273294,0.9729729890823364,0.058956609875806594
26,0.9759904,0.08203745127342081,1.0,0.020902420649346477
27,0.9627851,0.09424561002172407,0.9932432174682617,0.027835995309968636
28,0.9687875,0.10530141021859402,0.9932432174682617,0.024611824010035716
29,0.9735894,0.07736644496592629,1.0,0.008682154011645588
30,0.9747899,0.06971382556223145,0.9864864945411682,0.04463233949924895
31,0.9711885,0.08552404071170491,0.9932432174682617,0.020416426820292134
32,0.9747899,0.07504890556951538,1.0,0.010895012967416056
33,0.98079234,0.05778146422656815,1.0,0.008365957988158798
34,0.9747899,0.07849926949657922,0.9729729890823364,0.0687584950531075
35,0.97959185,0.06086530631624343,0.9932432174682617,0.020459532666858703
36,0.9891957,0.0403869740856709,0.9864864945411682,0.022499850360938774
37,0.97719085,0.06369592993834365,1.0,0.016044626399789378
38,0.97719085,0.055438633481458534,0.9932432174682617,0.026684765034308444
39,0.9891957,0.028445336604904066,0.9932432174682617,0.023702752157449422
40,0.9891957,0.03984581861578387,0.9864864945411682,0.04307831071560098
41,0.9687875,0.08051972520589261,0.9729729890823364,0.09345671876337593
42,0.9747899,0.07199136815936985,0.9932432174682617,0.011443122338172039
43,0.9735894,0.07324062259669256,1.0,0.008226389608752643
44,0.97959185,0.05680817855802482,1.0,0.006717853930943146
45,0.97839135,0.05636023885825691,0.9932432174682617,0.02000357720520838
46,0.97719085,0.06839610961851401,1.0,0.011729912435142167
47,0.9855942,0.04505148921918567,1.0,0.009793140730948835
48,0.9867947,0.0392225729331758,0.9932432174682617,0.01685762010013575
49,0.9879952,0.046885579120572056,0.9932432174682617,0.013380986912676713
